Marwan, Rafik, 13
Alessio, Rossi, 25
Giovanni, Bianchi, 35
Giulia, Verdi, 20
Mario, Neri, 30
Andrea, Gialli, 22
Luca, Marroni, 28
Elena, Blu, 40
Francesca, Rosa, 18
Paolo, Viola, 27
Antonio, Rossi, 32
Sofia, Moretti, 24
Giorgio, Giallo, 29
Martina, Celeste, 31
Simone, Rosso, 26
Chiara, Verde, 23
Davide, Blu, 33
Laura, Marrone, 36
Matteo, Bianco, 19
Sara, Rossi, 21
Marco, Verdi, 34
Anna, Nera, 37
Francesco, Gialli, 39
Eleonora, Blu, 38
Alessandro, Rosa, 17
Valentina, Viola, 16
Federico, Marroni, 15
Vanessa, Blu, 14
Giovanni, Rosa, 13
Serena, Verdi, 12
Fabio, Bianchi, 11
Jessica, Neri, 10
Emanuele, Gialli, 9
Elisa, Marroni, 8
Lorenzo, Rosa, 7
Veronica, Viola, 6
Cristiano, Marrone, 5
Sara, Rossi, 4
Andrea, Verdi, 3
Marta, Bianchi, 2
Daniele, Neri, 1
Silvia, Gialli, 45
Roberto, Rosso, 44
Elena, Verde, 43
Federica, Blu, 42
Luca, Marrone, 41
Giulia, Bianco, 40
Alessandro, Viola, 39
Sara, Neri, 38
Marco, Gialli, 37
Francesca, Rosa, 36
Stefano, Verdi, 35
Martina, Marroni, 34
Andrea, Celeste, 33
Laura, Blu, 32
Davide, Bianchi, 31
Sara, Verde, 30
Luca, Neri, 29
Giulia, Gialli, 28
Marco, Marrone, 27
Alessia, Rosa, 26
Paolo, Viola, 25
Martina, Bianco, 24
Luca, Viola, 23
Chiara, Giallo, 22
Lorenzo, Verde, 21
Francesca, Neri, 20
Stefano, Celeste, 19
Eleonora, Bianchi, 18
Andrea, Marroni, 17
Valentina, Blu, 16
Matteo, Rosso, 15
Sara, Gialli, 14
Francesco, Marrone, 13
Elisa, Bianco, 12
Giovanni, Rosa, 11
Chiara, Viola, 10
Daniele, Verde, 9
Sara, Celeste, 8
Andrea, Giallo, 7
Martina, Neri, 6
Luca, Bianchi, 5
Federica, Marroni, 4
Marco, Blu, 3
Giulia, Rosso, 2
Alessandro, Verde, 1
Silvia, Gialli, 55
Roberto, Rosso, 54
Elena, Verde, 53
Federica, Blu, 52
Luca, Marrone, 51
Giulia, Bianco, 50
Alessandro, Viola, 49
Sara, Neri, 48
Marco, Gialli, 47
Francesca, Rosa, 46
Stefano, Verdi, 45
Martina, Marroni, 44
Andrea, Celeste, 43
Laura, Blu, 42
